ethnic_sentiment,rural,unemployed,male,education,age,age_sq,dist_match,post_victory,country_match_fe,country_year_fe,language_year_id,future_victory,day,month,dayweek
National and ethnic ids equal,0,1,0,4,28,784,-11,1,5197,48,7,0,28,5,3
National and ethnic ids equal,1,1,1,4,38,1444,-10,1,5197,48,7,0,27,5,2
National id only,1,1,1,4,26,676,-9,1,2663,19,6,0,1,7,2
National and ethnic ids equal,1,1,0,0,20,400,-13,1,5197,48,7,0,30,5,5
National and ethnic ids equal,1,0,0,0,35,1225,-12,1,5197,48,7,0,29,5,4
National and ethnic ids equal,1,0,0,0,38,1444,-14,1,5197,48,7,0,31,5,6
National and ethnic ids equal,0,0,1,0,65,4225,-1,1,5252,48,7,0,2,6,1
National id more than ethnic,1,0,0,0,42,1764,-12,1,5197,48,7,0,29,5,4
National and ethnic ids equal,0,0,1,0,60,3600,-8,1,5197,48,7,0,25,5,0
National and ethnic ids equal,0,0,1,0,20,400,-14,1,5197,48,7,0,31,5,6
National and ethnic ids equal,0,0,0,0,27,729,-14,1,5197,48,7,0,31,5,6
National and ethnic ids equal,0,1,1,4,32,1024,-2,1,5252,48,7,0,3,6,2
National and ethnic ids equal,1,1,0,0,30,900,-14,1,5197,48,7,0,31,5,6
National and ethnic ids equal,0,0,0,4,18,324,-14,1,5197,48,7,0,31,5,6
National id only,0,0,1,0,60,3600,-14,1,5197,48,7,0,31,5,6
National and ethnic ids equal,1,1,1,7,36,1296,-9,1,5197,48,7,0,26,5,1
National id more than ethnic,1,0,0,0,30,900,-9,1,5197,48,7,0,26,5,1
National and ethnic ids equal,0,0,0,0,50,2500,-8,1,5197,48,7,0,25,5,0
Ethnic id more than national,0,0,1,7,37,1369,-11,1,5197,48,7,0,28,5,3
National and ethnic ids equal,1,0,0,0,32,1024,-13,1,5197,48,7,0,30,5,5
National and ethnic ids equal,1,1,0,0,38,1444,-12,1,5197,48,7,0,29,5,4
National and ethnic ids equal,0,0,1,0,66,4356,-14,1,5197,48,7,0,31,5,6
National and ethnic ids equal,0,0,0,0,43,1849,-1,1,5252,48,7,0,2,6,1
National and ethnic ids equal,0,1,1,4,35,1225,-8,1,5197,48,7,0,25,5,0
National id only,0,1,1,4,22,484,-12,1,5197,48,7,0,29,5,4
National and ethnic ids equal,0,0,1,8,55,3025,-9,1,5197,48,7,0,26,5,1
National and ethnic ids equal,0,0,1,7,58,3364,-1,1,5252,48,7,0,2,6,1
National id only,0,1,0,7,40,1600,-11,1,5197,48,7,0,28,5,3
National and ethnic ids equal,0,0,1,7,32,1024,-13,1,5197,48,7,0,30,5,5
Ethnic id more than national,0,0,0,0,41,1681,-8,1,5197,48,7,0,25,5,0
National id more than ethnic,1,0,1,0,30,900,-14,1,5197,48,7,0,31,5,6
Ethnic id more than national,0,0,1,2,35,1225,-10,1,5197,48,7,0,27,5,2
National id only,0,1,0,3,29,841,-9,1,5197,48,7,0,26,5,1
National and ethnic ids equal,1,0,1,0,60,3600,-12,1,5197,48,7,0,29,5,4
Ethnic id more than national,1,1,1,0,60,3600,-10,1,5197,48,7,0,27,5,2
Ethnic id more than national,1,0,0,0,22,484,-9,1,5197,48,7,0,26,5,1
National and ethnic ids equal,0,1,1,2,23,529,-8,1,5197,48,7,0,25,5,0
National id only,0,0,1,7,20,400,-9,1,5197,48,7,0,26,5,1
National and ethnic ids equal,0,0,0,4,44,1936,-11,1,5197,48,7,0,28,5,3
National and ethnic ids equal,0,0,1,4,69,4761,-2,1,5252,48,7,0,3,6,2
National and ethnic ids equal,0,1,1,6,27,729,-8,1,5197,48,7,0,25,5,0
National and ethnic ids equal,1,1,1,0,53,2809,-14,1,5197,48,7,0,31,5,6
National and ethnic ids equal,0,0,0,0,37,1369,-8,1,5197,48,7,0,25,5,0
Ethnic id only,0,0,0,2,27,729,-2,1,5252,48,7,0,3,6,2
National id more than ethnic,0,0,0,4,25,625,-14,1,5197,48,7,0,31,5,6
National and ethnic ids equal,0,0,0,0,28,784,-4,1,5252,48,7,0,5,6,4
National id only,1,1,1,2,35,1225,-9,1,2663,19,6,0,1,7,2
National and ethnic ids equal,0,0,1,4,19,361,-4,1,5252,48,7,0,5,6,4
National and ethnic ids equal,0,0,1,4,22,484,-13,1,5197,48,7,0,30,5,5
National id more than ethnic,0,0,0,0,30,900,-8,1,5197,48,7,0,25,5,0
National id more than ethnic,1,0,1,0,28,784,-9,1,5197,48,7,0,26,5,1
National id only,1,0,1,0,52,2704,-14,1,5197,48,7,0,31,5,6
National id only,0,0,1,4,23,529,-10,1,5197,48,7,0,27,5,2
Ethnic id more than national,1,0,0,0,64,4096,-9,1,5197,48,7,0,26,5,1
National and ethnic ids equal,0,0,1,0,38,1444,-1,1,5252,48,7,0,2,6,1
National and ethnic ids equal,0,1,0,4,25,625,-11,1,5197,48,7,0,28,5,3
National and ethnic ids equal,0,0,0,0,41,1681,-14,1,5197,48,7,0,31,5,6
National and ethnic ids equal,0,0,0,0,60,3600,-11,1,5197,48,7,0,28,5,3
Ethnic id more than national,1,0,0,0,29,841,-9,1,5197,48,7,0,26,5,1
National and ethnic ids equal,0,0,1,2,30,900,-11,1,5197,48,7,0,28,5,3
National and ethnic ids equal,0,0,1,7,26,676,-11,1,5197,48,7,0,28,5,3
National id more than ethnic,1,0,1,0,27,729,-10,1,5197,48,7,0,27,5,2
National id only,0,0,0,0,55,3025,-8,1,5197,48,7,0,25,5,0
National and ethnic ids equal,1,0,0,0,38,1444,-10,1,5197,48,7,0,27,5,2
National and ethnic ids equal,1,1,1,7,21,441,-2,1,5252,48,7,0,3,6,2
National and ethnic ids equal,0,1,1,7,27,729,-12,1,5197,48,7,0,29,5,4
National id only,1,0,0,0,36,1296,-8,1,2663,19,6,0,30,6,1
National and ethnic ids equal,0,0,0,0,53,2809,-3,1,5252,48,7,0,4,6,3
National id more than ethnic,1,0,1,4,30,900,-8,1,2663,19,6,0,30,6,1
Ethnic id more than national,1,0,1,0,60,3600,-10,1,5197,48,7,0,27,5,2
National id only,0,0,0,0,60,3600,-1,1,5252,48,7,0,2,6,1
National and ethnic ids equal,1,0,0,0,53,2809,-10,1,5197,48,7,0,27,5,2
National and ethnic ids equal,0,0,0,2,25,625,-8,1,5197,48,7,0,25,5,0
National and ethnic ids equal,0,0,0,0,29,841,-11,1,5197,48,7,0,28,5,3
National id more than ethnic,0,0,1,0,34,1156,-14,1,5197,48,7,0,31,5,6
National and ethnic ids equal,0,1,0,3,54,2916,-11,1,5197,48,7,0,28,5,3
National id only,1,0,0,0,19,361,-9,1,2663,19,6,0,1,7,2
National id only,1,0,0,0,29,841,-9,1,5197,48,7,0,26,5,1
National and ethnic ids equal,1,0,1,0,50,2500,-14,1,5197,48,7,0,31,5,6
National and ethnic ids equal,0,0,0,0,35,1225,-14,1,5197,48,7,0,31,5,6
Ethnic id more than national,1,0,0,2,23,529,-3,1,5252,48,7,0,4,6,3
National and ethnic ids equal,0,0,1,2,32,1024,-4,1,5252,48,7,0,5,6,4
National id only,0,0,1,2,68,4624,-11,1,5197,48,7,0,28,5,3
Ethnic id more than national,1,0,1,0,48,2304,-12,1,5197,48,7,0,29,5,4
Ethnic id more than national,1,0,0,0,25,625,-13,1,5197,48,7,0,30,5,5
Ethnic id more than national,0,0,1,4,30,900,-1,1,5252,48,7,0,2,6,1
National id more than ethnic,1,1,0,0,25,625,-10,1,5197,48,7,0,27,5,2
National id more than ethnic,0,0,1,5,28,784,-4,1,5252,48,7,0,5,6,4
National id more than ethnic,1,0,1,0,55,3025,-12,1,5197,48,7,0,29,5,4
National and ethnic ids equal,0,0,1,4,44,1936,-13,1,5197,48,7,0,30,5,5
National and ethnic ids equal,1,0,0,2,24,576,-12,1,5197,48,7,0,29,5,4
National id only,1,1,0,0,40,1600,-12,1,5197,48,7,0,29,5,4
National and ethnic ids equal,1,0,1,0,58,3364,-10,1,5197,48,7,0,27,5,2
National and ethnic ids equal,1,0,1,0,38,1444,-12,1,5197,48,7,0,29,5,4
National id only,0,0,1,4,54,2916,-9,1,5197,48,7,0,26,5,1
National id more than ethnic,0,1,1,0,52,2704,-11,1,5197,48,7,0,28,5,3
National id only,0,0,0,4,25,625,-12,1,5197,48,7,0,29,5,4
National id only,0,0,0,2,34,1156,-12,1,5197,48,7,0,29,5,4
National and ethnic ids equal,1,0,1,0,70,4900,-12,1,5197,48,7,0,29,5,4
Ethnic id more than national,1,0,1,0,40,1600,-9,1,5197,48,7,0,26,5,1
National and ethnic ids equal,0,0,0,0,45,2025,-1,1,5252,48,7,0,2,6,1
National and ethnic ids equal,0,0,1,3,68,4624,-11,1,5197,48,7,0,28,5,3
National id more than ethnic,1,0,1,0,48,2304,-13,1,5197,48,7,0,30,5,5
National and ethnic ids equal,0,0,1,0,31,961,-11,1,5197,48,7,0,28,5,3
National id more than ethnic,0,0,0,4,26,676,-11,1,5197,48,7,0,28,5,3
National and ethnic ids equal,0,0,1,4,45,2025,-3,1,5252,48,7,0,4,6,3
National and ethnic ids equal,0,0,1,4,60,3600,-2,1,5252,48,7,0,3,6,2
National id more than ethnic,0,0,0,2,42,1764,-13,1,5197,48,7,0,30,5,5
National id only,1,0,1,0,61,3721,-12,1,5197,48,7,0,29,5,4
National id only,1,1,0,4,23,529,-14,1,5197,48,7,0,31,5,6
National id more than ethnic,0,0,1,0,49,2401,-8,1,5197,48,7,0,25,5,0
National and ethnic ids equal,0,1,0,2,40,1600,-11,1,5197,48,7,0,28,5,3
National id only,1,0,0,4,22,484,-9,1,5197,48,7,0,26,5,1
National id more than ethnic,1,1,1,4,25,625,-9,1,5197,48,7,0,26,5,1
National and ethnic ids equal,0,0,1,3,38,1444,-4,1,5252,48,7,0,5,6,4
National id more than ethnic,0,0,0,4,28,784,-11,1,5197,48,7,0,28,5,3
National id only,1,1,1,7,25,625,-3,1,5252,48,7,0,4,6,3
Ethnic id only,0,1,0,4,21,441,-14,1,5197,48,7,0,31,5,6
National id only,0,0,1,5,33,1089,-14,1,5197,48,7,0,31,5,6
National id only,0,0,1,4,18,324,-11,1,5197,48,7,0,28,5,3
National and ethnic ids equal,0,1,1,8,24,576,-3,1,5252,48,7,0,4,6,3
National and ethnic ids equal,1,0,0,0,38,1444,-12,1,5197,48,7,0,29,5,4
National and ethnic ids equal,0,1,0,4,25,625,-8,1,5197,48,7,0,25,5,0
National and ethnic ids equal,1,0,0,0,38,1444,-12,1,5197,48,7,0,29,5,4
National and ethnic ids equal,1,0,0,0,54,2916,-12,1,5197,48,7,0,29,5,4
National and ethnic ids equal,0,0,0,0,32,1024,-11,1,5197,48,7,0,28,5,3
National and ethnic ids equal,0,1,0,2,37,1369,-13,1,5197,48,7,0,30,5,5
National and ethnic ids equal,1,1,1,3,34,1156,-12,1,5197,48,7,0,29,5,4
National id only,0,0,1,3,43,1849,-9,1,5197,48,7,0,26,5,1
National and ethnic ids equal,0,0,0,3,33,1089,-14,1,5197,48,7,0,31,5,6
National and ethnic ids equal,1,1,1,2,50,2500,-13,1,5197,48,7,0,30,5,5
National and ethnic ids equal,0,0,1,4,59,3481,-4,1,5252,48,7,0,5,6,4
Ethnic id only,0,1,0,0,19,361,-14,1,5197,48,7,0,31,5,6
National id more than ethnic,1,1,1,4,19,361,-12,1,5197,48,7,0,29,5,4
National id only,0,1,1,4,19,361,-14,1,5197,48,7,0,31,5,6
National and ethnic ids equal,1,0,1,4,23,529,-13,1,5197,48,7,0,30,5,5
National id only,1,1,1,5,19,361,-10,1,5197,48,7,0,27,5,2
National and ethnic ids equal,1,0,1,2,67,4489,-9,1,5197,48,7,0,26,5,1
National and ethnic ids equal,1,0,0,0,47,2209,-14,1,5197,48,7,0,31,5,6
National id more than ethnic,1,0,0,0,80,6400,-10,1,5197,48,7,0,27,5,2
Ethnic id more than national,0,0,0,7,25,625,-8,1,5197,48,7,0,25,5,0
National and ethnic ids equal,1,1,1,2,30,900,-9,1,5197,48,7,0,26,5,1
National and ethnic ids equal,0,0,1,3,42,1764,-14,1,5197,48,66,0,31,5,6
National and ethnic ids equal,1,0,1,3,61,3721,-9,1,2663,19,65,0,1,7,2
National and ethnic ids equal,1,1,0,4,35,1225,-8,1,2663,19,65,0,30,6,1
National id only,1,0,1,4,42,1764,-10,1,5197,48,66,0,27,5,2
National id only,1,1,0,0,29,841,-10,1,2663,19,65,0,2,7,3
National id more than ethnic,1,0,1,0,38,1444,-13,1,5197,48,66,0,30,5,5
National and ethnic ids equal,1,0,1,4,35,1225,-8,1,2663,19,65,0,30,6,1
National id more than ethnic,0,0,1,3,42,1764,-8,1,2663,19,65,0,30,6,1
National id only,1,1,1,4,30,900,-10,1,5197,48,66,0,27,5,2
National id only,1,0,0,0,25,625,-10,1,5197,48,66,0,27,5,2
Ethnic id more than national,1,1,1,7,20,400,-10,1,2663,19,65,0,2,7,3
National and ethnic ids equal,1,0,1,0,19,361,-7,1,5252,48,66,0,8,6,0
National and ethnic ids equal,0,0,0,0,20,400,-6,1,5252,48,66,0,7,6,6
Ethnic id more than national,0,1,0,0,25,625,-8,1,2663,19,65,0,30,6,1
National and ethnic ids equal,0,0,0,0,55,3025,-6,1,5252,48,66,0,7,6,6
National id more than ethnic,1,0,1,4,19,361,-12,1,5197,48,66,0,29,5,4
Ethnic id more than national,1,0,1,0,28,784,-7,1,5252,48,66,0,8,6,0
National id only,1,0,1,1,65,4225,-8,1,5252,48,66,0,9,6,1
National id more than ethnic,0,0,0,4,21,441,-9,1,5197,48,66,0,26,5,1
Ethnic id more than national,0,0,1,0,47,2209,-6,1,5252,48,66,0,7,6,6
National id only,1,0,1,1,33,1089,-10,1,5197,48,66,0,27,5,2
National and ethnic ids equal,0,1,1,5,26,676,-9,1,5197,48,66,0,26,5,1
National and ethnic ids equal,1,0,0,0,41,1681,-5,1,5252,48,66,0,6,6,5
Ethnic id more than national,0,0,1,4,24,576,-9,1,5197,48,66,0,26,5,1
National id only,1,0,1,0,27,729,-7,1,5252,48,66,0,8,6,0
National and ethnic ids equal,1,0,1,1,20,400,-13,1,5197,48,66,0,30,5,5
Ethnic id more than national,1,0,1,0,22,484,-10,1,5197,48,66,0,27,5,2
National and ethnic ids equal,1,0,0,0,30,900,-12,1,5197,48,66,0,29,5,4
National id more than ethnic,1,0,0,0,40,1600,-14,1,5197,48,66,0,31,5,6
National id more than ethnic,1,0,0,0,25,625,-8,1,5252,48,66,0,9,6,1
National and ethnic ids equal,1,0,0,0,35,1225,-1,1,5252,48,66,0,2,6,1
National and ethnic ids equal,1,0,1,4,27,729,-10,1,2663,19,65,0,2,7,3
National and ethnic ids equal,1,0,0,0,40,1600,-8,1,2663,19,65,0,30,6,1
National and ethnic ids equal,1,0,1,2,50,2500,-10,1,5197,48,66,0,27,5,2
National and ethnic ids equal,1,0,1,3,33,1089,-5,1,5252,48,66,0,6,6,5
National and ethnic ids equal,0,0,1,4,60,3600,-8,1,2663,19,65,0,30,6,1
National and ethnic ids equal,1,0,1,3,45,2025,-8,1,5252,48,66,0,9,6,1
National id more than ethnic,1,0,0,0,35,1225,-9,1,2663,19,65,0,1,7,2
National id more than ethnic,1,1,0,1,33,1089,-8,1,2663,19,65,0,30,6,1
Ethnic id more than national,0,0,1,0,70,4900,-11,1,2663,19,65,0,3,7,4
National and ethnic ids equal,1,0,0,0,35,1225,-10,1,5197,48,66,0,27,5,2
National id more than ethnic,1,0,1,4,25,625,-1,1,5252,48,66,0,2,6,1
National id more than ethnic,1,1,0,0,33,1089,-9,1,2663,19,65,0,1,7,2
National id only,0,1,1,4,24,576,-11,1,5197,48,66,0,28,5,3
National and ethnic ids equal,0,0,0,0,25,625,-13,1,5197,48,66,0,30,5,5
National id only,1,0,0,3,32,1024,-14,1,5197,48,66,0,31,5,6
National and ethnic ids equal,1,0,0,0,55,3025,-7,1,5252,48,66,0,8,6,0
National and ethnic ids equal,1,0,1,0,35,1225,-10,1,5197,48,66,0,27,5,2
National id only,1,0,0,0,28,784,-10,1,5197,48,66,0,27,5,2
National and ethnic ids equal,1,0,0,0,40,1600,-10,1,2663,19,65,0,2,7,3
National and ethnic ids equal,1,0,0,2,18,324,-13,1,5197,48,66,0,30,5,5
National and ethnic ids equal,0,0,0,2,19,361,-14,1,5197,48,66,0,31,5,6
National and ethnic ids equal,1,0,1,0,20,400,-8,1,5252,48,66,0,9,6,1
National and ethnic ids equal,1,0,1,0,40,1600,-5,1,5252,48,66,0,6,6,5
National id only,0,0,1,2,35,1225,-13,1,5197,48,66,0,30,5,5
National id more than ethnic,1,0,0,0,41,1681,-13,1,5197,48,66,0,30,5,5
National and ethnic ids equal,0,0,1,1,38,1444,-6,1,5252,48,66,0,7,6,6
National id only,1,0,0,2,35,1225,-10,1,5197,48,66,0,27,5,2
National id only,1,0,1,0,45,2025,-14,1,5197,48,66,0,31,5,6
Ethnic id more than national,1,1,0,0,39,1521,-10,1,5197,48,66,0,27,5,2
Ethnic id more than national,1,0,1,1,39,1521,-5,1,5252,48,66,0,6,6,5
National id only,1,0,1,2,35,1225,-12,1,5197,48,66,0,29,5,4
National and ethnic ids equal,1,0,1,5,29,841,-8,1,2663,19,65,0,30,6,1
National id more than ethnic,1,0,0,0,40,1600,-10,1,5197,48,66,0,27,5,2
National and ethnic ids equal,1,0,1,0,28,784,-3,1,5252,48,66,0,4,6,3
National id more than ethnic,1,0,1,7,51,2601,-13,1,5197,48,66,0,30,5,5
Ethnic id more than national,0,0,0,4,18,324,-9,1,5197,48,66,0,26,5,1
National id only,1,0,0,0,54,2916,-5,1,5252,48,66,0,6,6,5
National id more than ethnic,1,0,1,0,31,961,-14,1,5197,48,66,0,31,5,6
National id only,1,0,0,0,50,2500,-1,1,5252,48,66,0,2,6,1
National and ethnic ids equal,1,0,1,0,50,2500,-10,1,5197,48,66,0,27,5,2
National id more than ethnic,1,0,0,4,25,625,-12,1,5197,48,66,0,29,5,4
National and ethnic ids equal,1,0,1,0,85,7225,-8,1,5252,48,66,0,9,6,1
Ethnic id more than national,1,0,0,1,27,729,-7,1,5252,48,66,0,8,6,0
National and ethnic ids equal,1,0,0,0,30,900,-8,1,2663,19,65,0,30,6,1
National and ethnic ids equal,1,0,0,0,25,625,-10,1,2663,19,65,0,2,7,3
National id more than ethnic,0,0,0,4,27,729,-9,1,5197,48,66,0,26,5,1
National id only,0,0,0,2,24,576,-13,1,5197,48,66,0,30,5,5
National id only,0,0,1,4,66,4356,-14,1,5197,48,66,0,31,5,6
Ethnic id more than national,1,0,0,2,20,400,-10,1,5197,48,66,0,27,5,2
National id only,1,0,1,0,26,676,-12,1,5197,48,66,0,29,5,4
Ethnic id more than national,1,0,1,2,60,3600,-10,1,2663,19,65,0,2,7,3
Ethnic id more than national,1,1,1,0,23,529,-9,1,2663,19,65,0,1,7,2
National id only,1,0,0,2,45,2025,-3,1,5252,48,66,0,4,6,3
National and ethnic ids equal,0,0,0,0,50,2500,-6,1,5252,48,66,0,7,6,6
National and ethnic ids equal,0,0,1,3,37,1369,-14,1,5197,48,66,0,31,5,6
National and ethnic ids equal,0,0,1,1,23,529,-13,1,5197,48,66,0,30,5,5
National id only,1,0,0,2,27,729,-13,1,5197,48,66,0,30,5,5
National id more than ethnic,1,0,1,1,24,576,-1,1,5252,48,66,0,2,6,1
National and ethnic ids equal,1,0,0,0,30,900,-8,1,5252,48,66,0,9,6,1
National and ethnic ids equal,1,0,0,0,40,1600,-10,1,5197,48,66,0,27,5,2
National and ethnic ids equal,1,1,0,0,30,900,-9,1,2663,19,65,0,1,7,2
National id more than ethnic,0,1,0,2,32,1024,-9,1,5197,48,66,0,26,5,1
National id more than ethnic,1,0,1,0,42,1764,-5,1,5252,48,66,0,6,6,5
National id only,0,0,0,4,30,900,-11,1,5197,48,66,0,28,5,3
National id only,0,0,1,0,41,1681,-14,1,5197,48,66,0,31,5,6
National and ethnic ids equal,1,1,1,0,22,484,-10,1,2663,19,65,0,2,7,3
National and ethnic ids equal,1,0,1,4,60,3600,-12,1,5197,48,66,0,29,5,4
Ethnic id more than national,1,0,1,2,27,729,-10,1,5197,48,66,0,27,5,2
National id more than ethnic,0,0,0,0,19,361,-4,1,5252,48,66,0,5,6,4
National id only,1,0,1,2,32,1024,-13,1,5197,48,66,0,30,5,5
National id more than ethnic,0,0,0,1,30,900,-14,1,5197,48,66,0,31,5,6
National id only,0,0,0,0,25,625,-9,1,5197,48,66,0,26,5,1
National id more than ethnic,1,0,0,0,26,676,-12,1,5197,48,66,0,29,5,4
National id only,1,0,0,0,20,400,-14,1,5197,48,66,0,31,5,6
National id only,1,0,1,1,42,1764,-5,1,5252,48,66,0,6,6,5
National and ethnic ids equal,1,0,1,0,35,1225,-14,1,5197,48,66,0,31,5,6
National and ethnic ids equal,1,0,1,0,27,729,-9,1,2663,19,65,0,1,7,2
National and ethnic ids equal,1,0,1,2,36,1296,-9,1,2663,19,65,0,1,7,2
National and ethnic ids equal,1,0,0,1,50,2500,-14,1,5197,48,66,0,31,5,6
National id more than ethnic,1,0,0,0,55,3025,-1,1,5252,48,66,0,2,6,1
Ethnic id more than national,0,0,1,4,19,361,-14,1,5197,48,66,0,31,5,6
National id only,1,0,0,0,34,1156,-8,1,5252,48,66,0,9,6,1
National and ethnic ids equal,0,0,0,0,31,961,-12,1,5197,48,66,0,29,5,4
National and ethnic ids equal,1,0,0,0,40,1600,-13,1,5197,48,66,0,30,5,5
National and ethnic ids equal,0,0,0,4,19,361,-14,1,5197,48,66,0,31,5,6
Ethnic id more than national,0,0,1,6,18,324,-9,1,5197,48,66,0,26,5,1
National id only,0,0,1,4,43,1849,-6,1,5252,48,66,0,7,6,6
National id only,0,0,0,4,58,3364,-11,1,5197,48,66,0,28,5,3
Ethnic id more than national,1,0,0,0,35,1225,-9,1,5197,48,66,0,26,5,1
National id only,0,0,0,0,34,1156,-6,1,5252,48,66,0,7,6,6
National id only,1,0,0,0,30,900,-12,1,5197,48,66,0,29,5,4
National and ethnic ids equal,1,0,1,2,19,361,-7,1,5252,48,66,0,8,6,0
National id more than ethnic,1,0,0,1,35,1225,-1,1,5252,48,66,0,2,6,1
National id only,1,0,0,2,41,1681,-10,1,2663,19,65,0,2,7,3
National id only,1,0,1,0,25,625,-1,1,5252,48,66,0,2,6,1
National id only,1,0,0,0,40,1600,-8,1,5252,48,66,0,9,6,1
National and ethnic ids equal,0,0,1,0,78,6084,-6,1,5252,48,66,0,7,6,6
National and ethnic ids equal,0,1,1,2,30,900,-9,1,5197,48,66,0,26,5,1
National and ethnic ids equal,0,0,1,5,46,2116,-11,1,5197,48,66,0,28,5,3
National id more than ethnic,0,0,0,3,39,1521,-11,1,5197,48,66,0,28,5,3
National and ethnic ids equal,1,0,0,0,19,361,-7,1,5252,48,66,0,8,6,0
National id only,1,0,0,1,55,3025,-7,1,5252,48,66,0,8,6,0
National and ethnic ids equal,1,0,1,1,28,784,-3,1,5252,48,66,0,4,6,3
National id only,0,0,1,0,27,729,-13,1,5197,48,66,0,30,5,5
National and ethnic ids equal,1,0,1,2,28,784,-11,1,5197,48,66,0,28,5,3
National and ethnic ids equal,1,0,1,4,37,1369,-1,1,5252,48,66,0,2,6,1
National id only,1,1,1,4,19,361,-9,1,5197,48,66,0,26,5,1
National id only,1,0,1,0,31,961,-10,1,5197,48,66,0,27,5,2
National id more than ethnic,1,0,1,0,48,2304,-8,1,2663,19,65,0,30,6,1
Ethnic id more than national,1,0,0,4,19,361,-10,1,5197,48,66,0,27,5,2
National id more than ethnic,1,0,1,0,80,6400,-5,1,5252,48,66,0,6,6,5
National id only,0,0,0,0,24,576,-12,1,5197,48,66,0,29,5,4
National and ethnic ids equal,0,0,0,2,32,1024,-8,1,2663,19,65,0,30,6,1
National id only,0,0,1,4,26,676,-8,1,2663,19,65,0,30,6,1
National and ethnic ids equal,0,0,0,0,41,1681,-14,1,5197,48,66,0,31,5,6
National id only,1,0,1,0,32,1024,-10,1,5197,48,66,0,27,5,2
National id only,0,0,1,4,46,2116,-12,1,5197,48,66,0,29,5,4
National and ethnic ids equal,1,0,1,4,25,625,-2,1,5252,48,172,0,3,6,2
National id more than ethnic,0,0,0,4,34,1156,-11,1,2663,19,171,0,3,7,4
National id only,0,0,1,4,30,900,-10,1,5197,48,172,0,27,5,2
National id more than ethnic,0,0,1,1,25,625,-12,1,5197,48,172,0,29,5,4
National id only,1,0,0,3,67,4489,-2,1,5252,48,172,0,3,6,2
National and ethnic ids equal,0,1,0,3,29,841,-11,1,2663,19,171,0,3,7,4
National id only,1,0,1,1,35,1225,-3,1,5252,48,172,0,4,6,3
National id only,0,1,1,8,25,625,-11,1,2663,19,171,0,3,7,4
National id only,0,0,1,1,30,900,-14,1,5197,48,172,0,31,5,6
National id only,0,1,1,4,30,900,-12,1,5197,48,172,0,29,5,4
National id only,0,0,1,4,19,361,-2,1,5252,48,172,0,3,6,2
National id only,0,0,1,5,27,729,-14,1,5197,48,172,0,31,5,6
National id more than ethnic,1,0,1,0,23,529,-2,1,5252,48,172,0,3,6,2
National id only,0,0,0,4,19,361,-12,1,5197,48,172,0,29,5,4
National id only,0,0,1,2,39,1521,-4,1,5252,48,172,0,5,6,4
National id only,0,0,0,2,18,324,-14,1,5197,48,172,0,31,5,6
National and ethnic ids equal,0,0,0,4,32,1024,-2,1,5252,48,172,0,3,6,2
National and ethnic ids equal,0,0,0,1,41,1681,-2,1,5252,48,172,0,3,6,2
National id only,0,0,1,4,66,4356,-11,1,5197,48,172,0,28,5,3
National id more than ethnic,1,0,1,2,47,2209,-14,1,5197,48,172,0,31,5,6
National id only,1,0,0,4,32,1024,-3,1,5252,48,172,0,4,6,3
National id only,1,0,1,4,22,484,-2,1,5252,48,172,0,3,6,2
National id more than ethnic,1,0,0,4,45,2025,-2,1,5252,48,172,0,3,6,2
National id only,0,0,1,8,34,1156,-8,1,2663,19,171,0,30,6,1
National id more than ethnic,0,0,0,3,19,361,-13,1,5197,48,172,0,30,5,5
National id more than ethnic,1,0,1,4,22,484,-9,1,2663,19,171,0,1,7,2
Ethnic id more than national,0,0,1,4,28,784,-14,1,5197,48,172,0,31,5,6
National and ethnic ids equal,1,0,0,0,50,2500,-2,1,5252,48,172,0,3,6,2
National id more than ethnic,0,0,0,4,23,529,-4,1,5252,48,172,0,5,6,4
National and ethnic ids equal,0,0,1,5,41,1681,-4,1,5252,48,172,0,5,6,4
National and ethnic ids equal,0,0,1,4,44,1936,-11,1,5197,48,172,0,28,5,3
National and ethnic ids equal,1,0,1,1,25,625,-2,1,5252,48,172,0,3,6,2
National id more than ethnic,0,0,0,0,23,529,-13,1,5197,48,172,0,30,5,5
National id only,0,0,0,0,27,729,-2,1,5252,48,172,0,3,6,2
National and ethnic ids equal,0,0,0,0,29,841,-11,1,5197,48,172,0,28,5,3
Ethnic id more than national,0,0,0,4,29,841,-14,1,5197,48,172,0,31,5,6
National and ethnic ids equal,1,0,0,1,27,729,-9,1,5197,48,172,0,26,5,1
National and ethnic ids equal,0,0,0,2,53,2809,-11,1,2663,19,171,0,3,7,4
National id more than ethnic,0,1,1,5,33,1089,-2,1,5252,48,172,0,3,6,2
National and ethnic ids equal,0,0,1,2,22,484,-4,1,5252,48,172,0,5,6,4
National and ethnic ids equal,0,0,0,0,25,625,-4,1,5252,48,172,0,5,6,4
National id only,0,0,0,0,51,2601,-4,1,5252,48,172,0,5,6,4
National and ethnic ids equal,0,0,0,0,30,900,-12,1,5197,48,172,0,29,5,4
National and ethnic ids equal,0,0,0,0,19,361,-2,1,5252,48,172,0,3,6,2
National and ethnic ids equal,0,0,1,8,50,2500,-11,1,2663,19,171,0,3,7,4
National id only,1,0,1,0,25,625,-3,1,5252,48,172,0,4,6,3
National id more than ethnic,0,0,0,7,43,1849,-8,1,5197,48,172,0,25,5,0
National id only,0,0,0,4,26,676,-11,1,5197,48,172,0,28,5,3
