ethnic_sentiment,rural,unemployed,male,education,age,age_sq,dist_match,post_victory,country_match_fe,country_year_fe,language_year_id,future_victory,day,month,dayweek
Ethnic id only,1,0,0,4,49,2401,4,0,1386,15,195,1,31,8,3
Ethnic id more than national,1,0,1,2,43,1849,11,0,2547,27,196,1,21,5,3
Ethnic id more than national,1,0,0,9,30,900,4,0,1386,15,195,1,31,8,3
Ethnic id more than national,0,0,0,4,23,529,7,0,1386,15,195,1,28,8,0
National id more than ethnic,1,0,1,2,30,900,4,0,4596,46,197,0,17,1,4
National id only,0,0,0,5,22,484,14,0,2547,27,196,1,18,5,0
Ethnic id more than national,0,0,0,6,18,324,15,0,2547,27,196,1,17,5,6
National and ethnic ids equal,1,1,1,4,49,2401,15,0,2547,27,196,1,17,5,6
National id only,1,0,1,5,36,1296,4,0,1386,15,195,1,31,8,3
National and ethnic ids equal,1,0,1,4,20,400,-5,1,1386,15,195,0,9,9,5
Ethnic id more than national,0,1,1,4,21,441,3,0,1386,15,195,1,1,9,4
Ethnic id more than national,1,0,1,4,32,1024,4,0,1386,15,195,1,31,8,3
Ethnic id more than national,1,0,0,3,28,784,1,0,1386,15,195,1,3,9,6
National and ethnic ids equal,1,0,1,6,48,2304,4,0,1386,15,195,1,31,8,3
National id only,1,0,0,5,22,484,4,0,1386,15,195,1,31,8,3
National id only,1,0,0,4,20,400,15,0,2547,27,196,1,17,5,6
National id only,1,0,0,1,21,441,13,0,2547,27,196,1,19,5,1
Ethnic id more than national,1,0,1,6,50,2500,4,0,1386,15,195,1,31,8,3
Ethnic id more than national,1,0,0,4,24,576,4,0,1386,15,195,1,31,8,3
Ethnic id more than national,1,0,1,6,35,1225,4,0,1386,15,195,1,31,8,3
National and ethnic ids equal,1,0,1,9,30,900,4,0,1386,15,195,1,31,8,3
National and ethnic ids equal,0,0,0,6,39,1521,12,0,2547,27,196,1,20,5,2
National id only,1,1,0,4,25,625,4,0,1386,15,195,1,31,8,3
Ethnic id more than national,1,0,1,6,23,529,15,0,2547,27,196,1,17,5,6
Ethnic id more than national,1,0,0,5,23,529,15,0,2547,27,196,1,17,5,6
Ethnic id more than national,1,1,1,5,23,529,4,0,1386,15,195,1,31,8,3
National and ethnic ids equal,0,1,1,6,29,841,2,0,1386,15,195,1,2,9,5
Ethnic id more than national,1,1,0,6,23,529,4,0,1386,15,195,1,31,8,3
National and ethnic ids equal,1,0,0,6,22,484,1,0,1386,15,199,1,3,9,6
National and ethnic ids equal,0,0,0,5,19,361,15,0,2547,27,200,1,17,5,6
National id only,0,0,1,5,39,1521,15,0,2547,27,200,1,17,5,6
National id only,1,0,0,4,19,361,1,0,1386,15,199,1,3,9,6
National and ethnic ids equal,0,0,1,7,25,625,3,0,1386,15,199,1,1,9,4
National id more than ethnic,1,0,0,2,33,1089,14,0,2547,27,200,1,18,5,0
National id only,0,0,1,6,35,1225,15,0,2547,27,200,1,17,5,6
National and ethnic ids equal,0,0,0,6,20,400,4,0,1386,15,199,1,31,8,3
National and ethnic ids equal,0,1,1,5,18,324,4,0,1386,15,199,1,31,8,3
National and ethnic ids equal,0,0,0,5,19,361,7,0,1386,15,199,1,28,8,0
National and ethnic ids equal,1,0,0,6,26,676,12,0,2547,27,200,1,20,5,2
National and ethnic ids equal,1,0,1,4,18,324,1,0,1386,15,199,1,3,9,6
National and ethnic ids equal,1,1,0,5,21,441,2,0,1386,15,199,1,2,9,5
Ethnic id more than national,1,0,1,7,28,784,15,0,2547,27,200,1,17,5,6
National and ethnic ids equal,0,0,0,6,28,784,15,0,2547,27,200,1,17,5,6
Ethnic id more than national,0,0,0,5,19,361,1,0,1386,15,199,1,3,9,6
National and ethnic ids equal,0,0,1,2,23,529,4,0,1386,15,199,1,31,8,3
National and ethnic ids equal,1,0,0,5,25,625,13,0,2547,27,200,1,19,5,1
Ethnic id only,1,0,1,3,45,2025,1,0,1386,15,199,1,3,9,6
National and ethnic ids equal,0,0,0,5,18,324,13,0,2547,27,200,1,19,5,1
National and ethnic ids equal,0,0,1,6,23,529,13,0,2547,27,200,1,19,5,1
National and ethnic ids equal,1,0,1,6,33,1089,13,0,2547,27,200,1,19,5,1
National id more than ethnic,0,0,1,6,32,1024,4,0,1386,15,199,1,31,8,3
National and ethnic ids equal,0,0,0,3,59,3481,4,0,1386,15,199,1,31,8,3
Ethnic id more than national,0,0,0,5,34,1156,7,0,1386,15,199,1,28,8,0
National id more than ethnic,0,0,1,2,51,2601,15,0,2547,27,200,1,17,5,6
National and ethnic ids equal,0,1,0,3,35,1225,3,0,1386,15,199,1,1,9,4
National and ethnic ids equal,0,0,1,5,21,441,5,0,1386,15,199,1,30,8,2
Ethnic id only,0,1,0,5,40,1600,1,0,1386,15,199,1,3,9,6
National and ethnic ids equal,0,0,0,7,27,729,12,0,2547,27,200,1,20,5,2
National id more than ethnic,1,0,1,6,44,1936,14,0,2547,27,200,1,18,5,0
National id more than ethnic,1,0,1,4,19,361,1,0,1386,15,199,1,3,9,6
National id more than ethnic,0,0,0,4,27,729,7,0,1386,15,199,1,28,8,0
National and ethnic ids equal,0,0,1,9,66,4356,4,0,1386,15,199,1,31,8,3
National and ethnic ids equal,0,1,1,0,50,2500,4,0,1386,15,199,1,31,8,3
Ethnic id more than national,1,0,1,8,39,1521,15,0,2547,27,200,1,17,5,6
