ln_uwe , ln_ahe , age , sex , race , years_ed
6.155184678 , 2.4663052238 , 46 , 2 , 1 , 15
6.3577089421 , 2.8919730393 , 30 , 2 , 1 , 15
6.7631740502 , 3.0742945961 , 37 , 1 , 1 , 16
7.6809451672 , 4.2797477856 , 27 , 1 , 1 , 16
6.8066591621 , 2.9565115604 , 32 , 1 , 1 , 12
5.403716343 , 1.9379804402 , 30 , 2 , 1 , 16
5.5214609179 , 1.4271163556 , 38 , 2 , 1 , 13
7.0392011651 , 3.5128406405 , 35 , 2 , 1 , 18
5.4726707537 , 2.071473372 , 46 , 2 , 1 , 12
5.9449445315 , 2.1837444158 , 33 , 2 , 1 , 13
6.5400304989 , 2.8511510447 , 28 , 1 , 1 , 16
6.8153819589 , 3.1265025047 , 34 , 1 , 1 , 16
3.9330764146 , 0.1264139249 , 36 , 1 , 1 , 14
4.2696974497 , 0.63211129 , 48 , 1 , 1 , 20
5.926926026 , 2.2380465719 , 46 , 2 , 1 , 13
5.8861040315 , 2.1972245773 , 33 , 1 , 1 , 13
0.6539264674 , -3.034952987 , 31 , 2 , 1 , 12
5.5425143271 , 1.8536348729 , 44 , 2 , 1 , 12
3.9120230054 , 1.8325814637 , 40 , 2 , 1 , 10
6.2622254139 , 2.6246392542 , 33 , 1 , 1 , 14
6.6453910145 , 2.8387285247 , 46 , 1 , 1 , 13
5.8468833183 , 2.1580038642 , 47 , 1 , 1 , 13
5.6645617615 , 1.9756823074 , 50 , 2 , 1 , 12
5.4414182102 , 1.7525387561 , 41 , 2 , 4 , 12
5.5561464759 , 1.2386583623 , 26 , 1 , 1 , 13
6.3577089421 , 2.6688294879 , 50 , 1 , 1 , 12
6.8066591621 , 3.0224695282 , 41 , 1 , 1 , 16
5.952243834 , 2.3413259213 , 41 , 2 , 1 , 14
6.6200732065 , 2.8358835726 , 48 , 1 , 1 , 12
6.7177116761 , 2.6233671139 , 44 , 1 , 1 , 16
6.0475540138 , 2.409967854 , 42 , 2 , 1 , 13
7.0508561226 , 3.3619766685 , 38 , 1 , 1 , 18
6.6200732065 , 2.9311937524 , 30 , 2 , 1 , 12
6.2146080984 , 2.5257286443 , 31 , 1 , 1 , 13
5.8468833183 , 2.1580038642 , 26 , 2 , 1 , 13
6.5673754175 , 2.8784959634 , 36 , 1 , 1 , 16
6.4222474632 , 2.7333680091 , 32 , 1 , 1 , 12
6.4222474632 , 2.7333680091 , 46 , 1 , 1 , 12
6.7477906293 , 3.0589111752 , 26 , 1 , 1 , 14
6.6453910145 , 2.8387285247 , 37 , 1 , 1 , 14
4.5659494728 , 2.2633643798 , 33 , 2 , 1 , 12
5.8357100177 , 2.1468305636 , 39 , 2 , 1 , 13
6.567429473 , 2.8785500189 , 43 , 2 , 1 , 16
6.5118596219 , 2.8229801678 , 50 , 1 , 1 , 12
5.9588883767 , 2.2700089226 , 32 , 1 , 1 , 14
6.2915691396 , 2.6026896854 , 34 , 1 , 1 , 12
6.013937403 , 2.3250579488 , 28 , 2 , 1 , 12
6.1753873853 , 2.3687248955 , 36 , 1 , 1 , 16
6.2523484264 , 2.5634689723 , 27 , 2 , 1 , 12
6.6941811787 , 3.0053017246 , 36 , 1 , 1 , 12
6.3630281035 , 2.7254419438 , 45 , 2 , 1 , 16
5.0514572886 , 1.650259907 , 46 , 2 , 1 , 12
6.3577089421 , 2.5510464523 , 41 , 1 , 1 , 18
5.7897249045 , 2.3885275228 , 41 , 2 , 1 , 14
6.4377516497 , 2.1892564077 , 31 , 1 , 1 , 12
6.3840262504 , 2.2896816882 , 27 , 2 , 1 , 12
6.0832720964 , 2.3456024781 , 25 , 1 , 1 , 12
5.9914645471 , 1.8971199849 , 45 , 1 , 1 , 16
6.5118596219 , 2.8229801678 , 45 , 2 , 1 , 13
5.6347896032 , 1.9459101491 , 46 , 2 , 1 , 16
5.8777357818 , 2.3223877203 , 50 , 2 , 1 , 10
6.0792875604 , 1.8307923184 , 29 , 1 , 1 , 12
6.0322865416 , 2.3434070875 , 43 , 1 , 1 , 18
6.7407011943 , 3.0518217402 , 31 , 1 , 1 , 18
7.1308988303 , 3.0365542681 , 36 , 2 , 1 , 13
6.0920057763 , 2.4031263222 , 35 , 2 , 1 , 12
5.3116891035 , 1.6228096494 , 50 , 2 , 1 , 12
6.3969296552 , 2.9957322736 , 46 , 2 , 1 , 12
6.4932882363 , 2.8044087822 , 42 , 1 , 1 , 18
6.1753873853 , 2.081042823 , 46 , 1 , 1 , 20
5.2470240722 , 2.4744353499 , 43 , 2 , 1 , 8
5.9009505396 , 2.4352146368 , 35 , 2 , 1 , 14
6.4530191219 , 2.7641396678 , 49 , 2 , 1 , 13
6.2523484264 , 2.5634689723 , 27 , 1 , 1 , 12
7.4563212307 , 3.4489880455 , 35 , 1 , 1 , 6
5.3078868176 , 1.6190073635 , 30 , 2 , 1 , 11.5
6.6200732065 , 2.9311937524 , 38 , 1 , 1 , 12
5.952243834 , 2.2633643798 , 29 , 2 , 1 , 16
6.567429473 , 2.8785500189 , 45 , 1 , 1 , 16
5.4414182102 , 1.7525387561 , 35 , 1 , 1 , 8
6.5118596219 , 2.8229801678 , 44 , 2 , 1 , 16
6.6453910145 , 2.9565115604 , 44 , 1 , 1 , 13
4.0943445622 , 0.4054651081 , 36 , 2 , 1 , 16
4.7676891155 , 1.7719568419 , 29 , 2 , 1 , 10
5.9478813911 , 2.0358583857 , 33 , 1 , 1 , 12
0.6931471806 , 0 , 26 , 2 , 1 , 10
2.1400661635 , 1.4469189829 , 46 , 1 , 1 , 9
6.907755279 , 3.9120230054 , 44 , 2 , 1 , 6
7.2050068025 , 3.3983443127 , 44 , 1 , 1 , 18
5.8468833183 , 2.1580038642 , 39 , 1 , 1 , 13
5.4414182102 , 1.7525387561 , 31 , 1 , 1 , 11
6.482872085 , 2.6762095952 , 31 , 1 , 1 , 16
6.2523484264 , 2.6970003649 , 33 , 1 , 1 , 16
5.1159958098 , 2.1202635362 , 44 , 2 , 1 , 15
5.4414182102 , 1.7525387561 , 42 , 2 , 1 , 12
4.7482710296 , 1.0593915755 , 28 , 1 , 1 , 12
6.0602009755 , 2.4226148157 , 48 , 2 , 1 , 13
6.0920057763 , 1.9488710499 , 29 , 2 , 1 , 14
6.2146080984 , 2.5257286443 , 49 , 1 , 1 , 15
6.7407011943 , 3.0518217402 , 45 , 1 , 1 , 16
6.4377516497 , 2.80016549 , 38 , 1 , 1 , 12
6.8066591621 , 3.0930870954 , 38 , 1 , 1 , 13
5.7719202798 , 2.0830408257 , 26 , 1 , 1 , 13
5.9914645471 , 1.8971199849 , 48 , 1 , 1 , 12
5.8713591052 , 2.6933052749 , 45 , 2 , 1 , 13
6.5333415107 , 2.8444620566 , 44 , 2 , 1 , 13
6.8685345658 , 2.9565115604 , 37 , 1 , 1 , 18
6.3909180318 , 3.0587135216 , 40 , 2 , 1 , 16
6.287501047 , 2.4588596505 , 37 , 1 , 1 , 15
6.7631740502 , 3.0742945961 , 48 , 1 , 1 , 12
6.1753873853 , 2.3041863744 , 39 , 1 , 1 , 12
5.7897249045 , 2.1008454503 , 28 , 2 , 1 , 14
5.7598719413 , 2.1222857816 , 46 , 2 , 1 , 16
6.482872085 , 2.7939926309 , 38 , 2 , 1 , 12
5.6645617615 , 1.9756823074 , 36 , 2 , 1 , 12
5.952243834 , 2.2633643798 , 33 , 1 , 1 , 12
7.0725197623 , 3.1604967568 , 41 , 1 , 1 , 20
5.4351765493 , 1.5231535438 , 26 , 1 , 1 , 16
5.2983173665 , 1.6094379124 , 48 , 1 , 1 , 8
6.8685345658 , 3.0618720761 , 34 , 1 , 1 , 18
6.3708883772 , 2.6820089231 , 49 , 2 , 1 , 16
4.605170186 , 0.9162907319 , 41 , 1 , 1 , 12
4.6612596526 , 1.6655273791 , 40 , 2 , 1 , 12
6.6941811787 , 3.0053017246 , 42 , 1 , 1 , 15
6.0972528559 , 2.4083734018 , 31 , 1 , 1 , 12
6.3238073904 , 2.6349279363 , 26 , 1 , 1 , 16
5.6306602098 , 1.9417807557 , 28 , 2 , 1 , 12
6.5118596219 , 2.8229801678 , 31 , 1 , 1 , 13
6.3969296552 , 2.7080502011 , 31 , 2 , 1 , 16
4.1351665567 , 1.8325814637 , 33 , 2 , 1 , 16
6.0402547113 , 2.1282317058 , 29 , 1 , 1 , 10
6.3577089421 , 2.6688294879 , 45 , 1 , 1 , 16
6.5118596219 , 2.8229801678 , 47 , 2 , 1 , 14
6.0475540138 , 2.3586745596 , 33 , 1 , 1 , 14
5.8468833183 , 2.1580038642 , 38 , 1 , 1 , 14
4.605170186 , 2.1202635362 , 40 , 2 , 1 , 14
5.8468833183 , 2.1580038642 , 30 , 1 , 1 , 12
5.6645617615 , 1.7933607506 , 28 , 1 , 1 , 12
5.7037824747 , 2.0149030205 , 26 , 1 , 1 , 13
6.1753873853 , 2.3687248955 , 28 , 2 , 1 , 14
6.104964921 , 2.4160854669 , 39 , 1 , 1 , 12
6.8285247414 , 3.1396452873 , 41 , 1 , 1 , 13
4.6896784328 , 1.5541842168 , 36 , 2 , 1 , 12
6.519989748 , 2.6079667425 , 29 , 1 , 1 , 13
5.9953033234 , 2.3064238693 , 33 , 1 , 1 , 12
6.1753873853 , 2.1680542 , 43 , 2 , 1 , 12
6.0475540138 , 2.4640350753 , 28 , 1 , 1 , 12
5.1312632819 , 1.4423838278 , 41 , 1 , 1 , 12
6.0920057763 , 2.354336158 , 29 , 1 , 1 , 11
6.6641331963 , 2.9752537422 , 36 , 1 , 1 , 16
6.6343553449 , 2.8276928551 , 41 , 1 , 1 , 16
5.9113670134 , 3.1387782911 , 39 , 2 , 1 , 18
5.952243834 , 2.2633643798 , 30 , 2 , 1 , 13
6.8685345658 , 3.0618720761 , 37 , 2 , 1 , 13
6.7464871314 , 3.0576076773 , 45 , 1 , 1 , 12
5.7291002826 , 2.0402208285 , 49 , 1 , 1 , 14
4.8283137373 , 2.5257286443 , 45 , 2 , 1 , 13
6.0354354248 , 2.3465559707 , 29 , 2 , 1 , 8
4.6550586479 , 1.0997105864 , 50 , 2 , 1 , 16
6.1510946927 , 2.4622152386 , 32 , 2 , 1 , 12
5.4822402047 , 2.081042823 , 28 , 2 , 1 , 12
6.2146080984 , 2.5257286443 , 31 , 2 , 3 , 14
7.0127907418 , 3.0615470232 , 37 , 1 , 1 , 12
5.9318231066 , 2.0198001012 , 29 , 1 , 1 , 8
5.5910587345 , 1.9021792804 , 42 , 2 , 1 , 8
6.2706975651 , 2.581818111 , 41 , 1 , 1 , 22
6.2706975651 , 2.581818111 , 36 , 2 , 1 , 22
5.6654530309 , 1.9765735768 , 49 , 1 , 1 , 8
6.4222474632 , 2.7333680091 , 43 , 1 , 1 , 12
4.9618451299 , 1.8708026766 , 36 , 2 , 1 , 12
6.5118596219 , 2.4175150597 , 30 , 1 , 1 , 16
5.9937216134 , 2.3048421593 , 45 , 2 , 1 , 16
4.0745419349 , 0.6733445533 , 25 , 2 , 1 , 16
5.952243834 , 2.2633643798 , 46 , 2 , 1 , 13
4.1653723988 , 2.0859308571 , 38 , 2 , 1 , 12
5.5180705617 , 2.0523346589 , 36 , 2 , 1 , 13
4.5453385189 , 1.8372883178 , 37 , 2 , 1 , 12
5.7758645866 , 1.3938379519 , 40 , 1 , 1 , 16
4.6459921805 , 0.9571127264 , 48 , 2 , 1 , 14
5.7897249045 , 2.1008454503 , 27 , 1 , 1 , 12
6.1345653907 , 2.4456859366 , 34 , 1 , 1 , 12
4.5457467655 , 2.4663052238 , 30 , 2 , 1 , 13
6.4222474632 , 2.2478601933 , 44 , 1 , 1 , 12
7.3132203871 , 3.2188758249 , 31 , 1 , 1 , 16
5.570251082 , 3.4908095404 , 31 , 2 , 1 , 16
7.4224196791 , 3.7335402249 , 39 , 1 , 1 , 16
5.5808843383 , 1.8920048842 , 28 , 1 , 1 , 12
5.2160792683 , 1.8838747581 , 32 , 2 , 1 , 12
6.1737861039 , 2.4849066498 , 27 , 2 , 1 , 12
5.7838251823 , 2.0949457282 , 49 , 1 , 1 , 6
5.6645617615 , 1.9756823074 , 33 , 1 , 1 , 10
